Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.660342,1.665283,1.526921,1.561512,0.482808,265858430
1985-02-01,1.556570,1.615868,1.487389,1.591161,0.496613,263516019
1985-03-01,1.605985,1.734464,1.566453,1.694932,0.529000,259807627
1985-04-01,1.694932,1.783879,1.650459,1.759171,0.549050,214798454
1985-05-01,1.764113,2.011188,1.719639,1.976597,0.616910,294141889
1985-06-01,1.986480,2.026012,1.853060,1.956831,0.615436,217135806
1985-07-01,1.951890,2.124842,1.867884,1.907416,0.599895,242340741
1985-08-01,1.917299,1.966714,1.848118,1.902475,0.602802,178400040
1985-09-01,1.907416,1.937065,1.739405,1.872826,0.593408,202669021
1985-10-01,1.877767,1.937065,1.729522,1.808586,0.573053,273793788
1985-11-01,1.813528,2.129783,1.813528,2.110017,0.668562,249798000
1985-12-01,2.105076,2.223672,1.877767,2.001305,0.638843,310053070
1986-01-01,2.001305,2.095193,1.828352,1.912358,0.610451,410769097
1986-02-01,1.912358,2.218730,1.902475,2.189081,0.705275,299755071
1986-03-01,2.198964,2.411448,2.045778,2.376858,0.765773,296266752
1986-04-01,2.376858,2.564635,2.189081,2.342268,0.754629,206068804
1986-05-01,2.337326,2.520161,2.268145,2.485571,0.800798,187339645
1986-06-01,2.490512,2.861124,2.396624,2.826534,0.917318,242687293
1986-07-01,2.821592,2.880890,2.530044,2.638757,0.856377,251874802
1986-08-01,2.638757,2.811709,2.609108,2.688172,0.878083,160414586
1986-09-01,2.693114,2.698055,2.233555,2.292853,0.748953,297005397
1986-10-01,2.312619,2.446039,2.223672,2.362034,0.771552,230775408
1986-11-01,2.371917,2.480629,2.292853,2.411448,0.787692,171582770
1986-12-01,2.401565,2.549810,2.352151,2.411448,0.793341,219556631
1987-01-01,2.416390,2.742528,2.416390,2.678289,0.881129,311831382
1987-02-01,2.663465,3.043960,2.653582,2.880890,0.954599,267462197
1987-03-01,2.880890,3.014311,2.791943,2.861124,0.948049,297463253
1987-04-01,2.836417,2.989603,2.559693,2.787002,0.923488,270897394
1987-05-01,2.782060,2.816651,2.411448,2.574518,0.853081,225658031
1987-06-01,2.594284,2.925364,2.549810,2.846300,0.949744,223925251
1987-07-01,2.851241,2.974779,2.772177,2.920422,0.974476,192285012
1987-08-01,2.905598,3.024194,2.796885,2.796885,0.939363,228463352
1987-09-01,2.801826,2.875949,2.648640,2.737587,0.919447,224717016
1987-10-01,2.727704,2.752411,1.699873,2.080368,0.698713,452307657
1987-11-01,2.070485,2.184140,1.808586,1.823411,0.612412,232070563
1987-12-01,1.858001,2.095193,1.630693,1.843177,0.624733,377479562
1988-01-01,1.877767,2.169315,1.872826,2.159432,0.731926,327259411
1988-02-01,2.169315,2.184140,1.981539,2.149549,0.728576,177656338
1988-03-01,2.134725,2.273087,2.114959,2.179198,0.746121,262595249
1988-04-01,2.184140,2.381799,2.124842,2.174257,0.744429,273275218
1988-05-01,2.174257,2.223672,1.907416,2.060602,0.705516,206918753
1988-06-01,2.085310,2.144608,1.976597,2.040836,0.706087,199775159
